date,open,high,low,close,volume,turnover
20210105,5.5,5.52,5.39,5.44,8532533.0,46377900.0
20210106,5.42,5.45,5.36,5.38,7183377.0,38731872.0
20210107,5.37,5.45,5.21,5.22,10809106.0,57477648.0
20210108,5.21,5.3,5.08,5.23,9108084.0,47443652.0
20210111,5.22,5.29,5.15,5.16,7758307.0,40498028.0
20210112,5.14,5.19,5.1,5.14,6603362.0,33876240.0
20210113,5.13,5.17,5.02,5.08,9463152.0,48132636.0
20210114,5.1,5.37,5.1,5.32,16168835.0,85244240.0
20210115,5.27,5.36,5.24,5.29,8208607.0,43429916.0
20210118,5.25,5.4,5.25,5.34,9008660.0,47930808.0
20210119,5.33,5.56,5.27,5.46,15384861.0,83566224.0
20210120,5.42,5.46,5.31,5.34,8632564.0,46269316.0
20210121,5.31,5.37,5.29,5.33,5515431.0,29415810.0
20210122,5.33,5.33,5.16,5.17,9125126.0,47531144.0
20210125,5.15,5.19,5.07,5.08,7342209.0,37475536.0
20210126,5.09,5.15,5.05,5.07,4515376.0,22997588.0
20210127,5.08,5.16,5.06,5.08,5028679.0,25630890.0
20210128,5.03,5.08,5.02,5.04,4347946.0,21966086.0
20210129,5.05,5.08,4.81,4.86,11464510.0,56367132.0
20210201,4.85,4.95,4.84,4.93,4760431.0,23271646.0
20210202,4.92,5.04,4.86,4.96,4546795.0,22587406.0
20210203,4.95,4.99,4.85,4.86,4188087.0,20426580.0
20210204,4.87,4.88,4.7,4.74,5400067.0,25720028.0
20210205,4.71,4.86,4.71,4.8,5309824.0,25435946.0
20210208,4.79,4.92,4.77,4.81,4962859.0,24068484.0
20210209,4.79,4.85,4.79,4.84,4423788.0,21345522.0
20210210,4.83,4.87,4.82,4.85,3945559.0,19117136.0
20210218,4.88,5.02,4.88,4.98,7078111.0,35119064.0
20210219,4.97,5.15,4.95,5.13,9577366.0,48632884.0
20210222,5.13,5.34,5.13,5.2,14733781.0,77331576.0
20210223,5.2,5.24,5.09,5.1,8259420.0,42537272.0
20210224,5.1,5.23,5.1,5.21,10511252.0,54520608.0
20210225,5.21,5.56,5.16,5.39,32381775.0,175495424.0
20210226,5.29,5.3,5.16,5.16,16424170.0,85582104.0
20210301,5.16,5.23,5.14,5.19,6384250.0,33082064.0
20210302,5.2,5.27,5.1,5.12,10195394.0,52602552.0
20210303,5.11,5.18,5.08,5.17,6513042.0,33499610.0
20210304,5.16,5.22,5.14,5.15,7355512.0,38083892.0
20210305,5.13,5.19,5.1,5.18,7670093.0,39535864.0
20210308,5.2,5.25,5.15,5.15,7759790.0,40373504.0
20210309,5.18,5.24,4.97,5.1,11514096.0,58792060.0
20210310,5.09,5.13,5.0,5.0,7196400.0,36324360.0
20210311,5.0,5.15,5.0,5.12,8160284.0,41563820.0
20210312,5.13,5.2,5.06,5.17,8983372.0,46257216.0
20210315,5.19,5.35,5.17,5.29,16005973.0,84529072.0
20210316,5.29,5.44,5.24,5.44,20854550.0,112107432.0
20210317,5.41,5.75,5.38,5.59,35660904.0,200277104.0
20210318,5.53,5.54,5.35,5.36,22805773.0,123404392.0
20210319,5.34,5.4,5.27,5.36,12454565.0,66669244.0
20210322,5.33,5.41,5.3,5.39,8454106.0,45380856.0
20210323,5.37,5.37,5.27,5.28,9476677.0,50275528.0
20210324,5.28,5.33,5.26,5.27,6297798.0,33290862.0
20210325,5.28,5.3,5.24,5.24,4930036.0,25959760.0
20210326,5.27,5.34,5.25,5.32,6937552.0,36818808.0
20210329,5.33,5.48,5.28,5.44,11832529.0,63747852.0
20210330,5.42,5.44,5.35,5.4,7358455.0,39621236.0
20210331,5.41,5.41,5.35,5.38,5945366.0,31990372.0
20210401,5.37,5.45,5.33,5.42,7889020.0,42447064.0
20210402,5.42,5.43,5.36,5.39,5426321.0,29246662.0
20210406,5.4,5.46,5.35,5.41,6549619.0,35393148.0
20210407,5.41,5.49,5.38,5.47,8247712.0,44980376.0
20210408,5.45,5.47,5.33,5.33,8610306.0,46424208.0
20210409,5.33,5.36,5.26,5.32,5975184.0,31707316.0
20210412,5.3,5.42,5.24,5.32,6586112.0,35070468.0
