date,open,high,low,close,volume,turnover
20210105,18.68,18.98,18.58,18.77,1789384.0,33601316.0
20210106,18.94,18.94,18.22,18.34,1933404.0,35543196.0
20210107,18.3,18.35,17.65,17.93,2426327.0,43383256.0
20210108,17.75,18.29,17.75,17.94,1257756.0,22742948.0
20210111,17.72,17.8,17.23,17.31,2136178.0,37310984.0
20210112,17.26,17.58,17.16,17.4,1300652.0,22595998.0
20210113,17.4,17.66,17.09,17.3,1833508.0,31770388.0
20210114,17.3,19.37,17.15,18.63,4101840.0,75986168.0
20210115,18.63,20.65,18.39,20.09,5886766.0,116998728.0
20210118,20.91,20.99,19.83,19.95,3029358.0,61108944.0
20210119,20.35,20.44,19.9,20.17,2848560.0,57542352.0
20210120,20.12,20.35,19.8,19.99,2475129.0,49613892.0
20210121,20.0,20.3,19.8,20.02,1481998.0,29661248.0
20210122,20.0,20.0,19.25,19.52,1745019.0,33929860.0
20210125,19.52,19.57,18.5,18.62,1876279.0,35419596.0
20210126,18.62,19.9,18.62,19.17,1950846.0,38028624.0
20210127,19.18,19.81,19.01,19.27,1451179.0,28010072.0
20210128,19.27,20.4,19.11,19.65,1964293.0,39161300.0
20210129,19.82,20.07,19.3,19.52,1372617.0,26878190.0
20210201,19.52,20.36,19.52,20.07,1761632.0,35258232.0
20210202,20.26,21.92,19.98,21.71,6126109.0,128737328.0
20210203,21.7,22.0,21.04,21.31,3653166.0,78736472.0
20210204,21.36,21.6,20.65,21.6,2656506.0,56022976.0
20210205,21.6,22.78,21.6,22.06,4025120.0,89953000.0
20210208,22.12,22.65,21.0,21.1,2735247.0,59639668.0
20210209,21.1,21.3,20.75,20.85,2971880.0,62229456.0
20210210,20.88,22.76,20.68,22.7,4636238.0,103037112.0
20210218,25.01,25.5,23.7,23.7,8239129.0,203577232.0
20210219,24.27,25.48,23.8,24.75,6217190.0,154091600.0
20210222,24.89,25.68,24.2,24.6,6128571.0,152661648.0
20210223,24.87,25.83,24.38,24.6,5291427.0,132850800.0
20210224,25.01,25.2,24.39,24.67,3718834.0,92319760.0
20210225,24.88,25.08,23.68,24.26,4206618.0,102329576.0
20210226,23.85,24.8,23.75,23.89,3665705.0,88329744.0
20210301,24.91,26.68,24.6,26.24,6644611.0,170957408.0
20210302,26.03,27.22,25.61,25.95,5712589.0,151040528.0
20210303,25.89,26.5,25.6,25.8,4107598.0,106703088.0
20210304,25.77,26.05,25.03,25.5,3468098.0,88659904.0
20210305,25.27,27.21,25.27,27.0,4424285.0,116853016.0
20210308,27.11,27.95,26.94,27.01,4779132.0,131150704.0
20210309,26.04,27.01,25.55,25.55,3777210.0,99172528.0
20210310,24.18,25.5,23.5,24.33,5932127.0,145356368.0
20210311,24.46,25.25,24.05,24.68,3026918.0,74704144.0
20210312,24.75,25.25,24.4,24.53,2465448.0,60841364.0
20210315,25.02,25.02,23.0,23.68,3932534.0,93094872.0
20210316,23.72,23.89,23.01,23.74,2105087.0,49146868.0
20210317,23.75,23.75,23.21,23.42,1434078.0,33569756.0
20210318,23.42,24.27,23.33,23.92,1607251.0,38438800.0
20210319,23.42,23.9,23.0,23.17,1912109.0,44535720.0
20210322,23.2,24.25,23.2,24.08,1955527.0,46454668.0
20210323,24.14,24.31,23.32,23.44,1183140.0,28087804.0
20210324,23.27,23.99,23.24,23.44,1292782.0,30605880.0
20210325,23.35,23.79,23.01,23.26,1068772.0,24984340.0
20210326,23.34,23.77,23.08,23.39,1564375.0,36722988.0
20210329,23.54,24.4,22.32,22.39,3443638.0,79443560.0
20210330,22.46,22.6,22.04,22.41,1435177.0,31985652.0
20210331,22.58,22.77,21.51,21.6,2529116.0,55743860.0
20210401,21.6,21.89,20.8,21.45,2266060.0,48493688.0
20210402,21.51,21.99,21.06,21.7,2036954.0,43921892.0
20210406,21.87,22.66,21.71,22.4,1450190.0,32280528.0
20210407,22.8,24.36,22.39,24.22,3390694.0,79981472.0
20210408,24.13,24.7,23.75,24.5,2271102.0,55344080.0
20210409,24.06,24.88,24.06,24.5,1265452.0,30987896.0
20210412,24.24,24.46,23.6,23.84,1644652.0,39299132.0
20210413,23.63,24.51,23.5,23.6,1743247.0,41635112.0
20210414,23.7,24.6,23.4,24.48,2349141.0,56941564.0
20210415,24.46,24.8,24.12,24.35,1548196.0,37759472.0
20210416,24.33,24.98,24.15,24.44,2317230.0,57139396.0
20210419,24.04,26.69,24.04,25.57,4964825.0,127984240.0
20210420,25.58,25.88,24.81,24.9,3093133.0,78123096.0
20210421,24.85,25.38,24.5,24.92,1765857.0,44072636.0
20210422,24.92,26.34,24.9,25.47,3579973.0,92534992.0
20210423,25.76,25.94,24.89,25.4,2287366.0,57856084.0
20210426,26.0,26.25,23.52,24.7,4463919.0,111650264.0
20210427,24.96,24.96,23.99,24.6,3523760.0,85922984.0
20210428,24.8,24.8,23.6,23.85,3661276.0,87990416.0
20210429,23.8,24.87,23.8,24.36,3319038.0,81179072.0
20210430,24.66,24.85,23.54,24.25,3879470.0,93900328.0
20210506,24.5,24.78,24.08,24.29,3276380.0,80157128.0
20210507,24.49,25.65,24.01,25.28,4602343.0,115081880.0
20210510,25.28,25.83,24.5,25.46,3672490.0,92911184.0
20210511,25.21,27.22,25.21,26.89,5823986.0,153730432.0
20210512,26.89,27.2,26.21,26.8,4152731.0,110799248.0
20210513,26.5,27.53,26.39,27.15,3818991.0,103581048.0
20210514,27.5,27.8,27.1,27.35,5017818.0,138054416.0
20210517,27.5,28.84,27.46,27.75,5926030.0,166573456.0
20210518,27.61,28.0,26.9,27.7,3985401.0,109487112.0
20210519,28.12,29.65,27.7,29.37,6114923.0,177363952.0
20210520,28.68,29.9,28.68,29.77,3777485.0,111346992.0
